Name,#,Standard,2018 retro-PSEFS,2019 retro-PSEFS,2020 retro-PSEFS,2022 PSEFS (initial),2023 PSEFS (initial),2024 PSEFS (initial),Rookie Year,Encountered?,Verified by:,Date Last Verified ),Signature (Lead Only),Sign Off Date,Notes
The Revolution,360,,2,2,3,2,2,2,2000,Y,adonis,10/26/23,,,
Team XBOT,488,,1,1,2,1,1,1,2000,Y,isha,10/28/23,,,
Titan Robotics Club,492,,3,2,3,2,2,2,2001,Y,adonis,10/27/23,,,
Nerds of the North,568,,-,-,-,2,2,2,2001,N,,,,,
High Desert Droids,753,,-,-,-,3,3,3,2002,Y,,,,,"check, 2024 could be 2"
PHRED,847,,-,-,-,3,6,4,2002,N,,,,,last did well in 2018
NRG (Newport Robotics Group),948,,-,-,-,1,2,2,2002,Y,,,,,WHO ranked them as a 3 answer fast i have some words
Wolverine Robotics,949,Y,3,3,3,3,3,3,2002,Y,Isha,10/26/23,,,
CV Robotics,955,,-,-,-,3,1,1,2002,N,,,,,"good in 2016, considerably worse after that until the 2022 season"
SWARM - South and West Albany Robotics Maniacs,957,,-,-,-,3,2,3,2002,N,,,,,"can i dock points from them for making me scroll through the absurdly long ""aka"" section"
Spartan Robotics,997,,-,-,-,2,1,2,2002,N,,,,,2019 and 2022 made it to dcmp & did well
Seabot,1258,,4,4,3,3,3,6,2004,Y,,,,,Verify pre covids
Pack of Parts,1294,,2,3,3,3,3,3,2004,Y,Ishan,10/26/23,,,Verify pre covids
Issaquah Robotics Society,1318,Y,1,1,1,1,1,1,2004,Y,Isha,10/26/23,,,
Scalawags,1359,,-,-,-,4,3,3,2004,N,,,,,
Error Code Xero,1425,,-,-,-,1,1,1,2004,N,,,,,
Metal Beavers,1432,,-,-,-,3,2,2,2004,N,,,,,"ranks relatively high, hasn't gone to dcmp recently"
Wildcats,1510,,-,-,-,6,7,7,2005,N,,,,,
Flaming Chickens,1540,,-,-,-,1,1,1,2005,N,,,,,
CALibrate Robotics,1571,,-,-,-,6,7,7,2005,N,,,,,
The Dragons,1595,,-,-,-,3,1,2,2005,Y,,,,,
Chill Out,1778,,-,-,-,2,2,2,2006,Y,,,,,
Saints Robotics,1899,,-,-,-,2,2,2,2006,Y,,,,,
Skunk Works Robotics,1983,,-,-,-,1,2,1,2007,Y,,,,,
Bear Metal,2046,,-,-,-,1,1,1,2007,Y,,,,,
Phoenix Force Robotics,2097,,-,-,-,1,3,4,2007,Y,,,,,
CHUCK,2147,,-,-,-,1,1,2,2007,Y,,,,,
Jesuit Robotics,2374,,-,-,-,4,4,3,2008,N,,,,,
Rebel Alliance,2411,,-,-,-,6,7,7,2008,N,,,,,
Robototes,2412,,-,-,-,3,1,1,2008,Y,,,,,
Team Mean Machine,2471,,-,-,-,1,1,2,2008,N,,,,,"decline from 2022 to 2023 season, possibly low return from past members"
SERT,2521,,-,-,-,3,2,2,2008,N,,,,,check 2024
Royal Robotics,2522,,-,-,-,1,1,2,2008,Y,,,,,
Skynet,2550,,-,-,-,6,-,-,2008,N,,,,,
SOTAbots,2557,,-,-,-,1,-,2,2008,Y,,,,,
Seamonsters,2605,,-,-,-,6,6,7,2008,N,Isha,,,,last competed 2021
Lake Monsters,2635,,-,-,-,-,-,-,2008,N,,,,,
Pigmice,2733,,-,-,-,2,3,4,2009,N,,,,,
StormBots,2811,,-,-,-,-,-,-,2009,N,,,,,
Flying Hedgehogs,2898,,-,-,-,-,-,-,2009,N,,,,,
NeoBots,2903,,-,-,-,3,4,4,2009,Y,,,,,
Sentinel Prime Robotics,2906,,-,-,-,4,-,-,2009,Y,,,,,
Lion Robotics,2907,,-,-,-,1,-,-,2009,Y,,,,,
Jack in the Bot,2910,Y,1,1,1,1,1,1,2009,Y,Ishan,10/26/23,,,
Pandamonium,2915,,-,-,-,-,-,-,2009,N,,,,,
Robo Sparks,2926,,-,-,-,-,-,2,2009,Y,,,,,
NEST Robotics (formerly GKHS Pi Rho Techs),2927,,-,-,-,4,6,-,2009,Y,,,,,
Viking Robotics,2928,,-,-,-,1,3,3,2009,Y,,,,,
Emeral Ridge JAGBOTS,2929,,-,-,-,5,-,-,2009,Y,,,,,
Sonic Squirrels,2930,,-,-,-,1,1,1,2009,Y,,,,,
Titanium Tigers,2944,,-,-,-,-,-,-,2009,N,,,,,
The Spartabots,2976,,-,-,-,1,1,2,2009,Y,,,,,
Whidbey Island Wildcats,2980,,-,-,-,2,3,3,2009,Y,,,,,
Hotwire,2990,,-,-,-,-,-,2,2009,Y,,,,,
My Favorite Team,3024,,-,-,-,-,-,-,2009,N,,,,,
BremerTron,3049,,-,-,-,4,4,4,2009,Y,,,,,
Team Pronto,3070,,-,-,-,4,3,3,2009,Y,,,,,
Gladiators,3131,,-,-,-,-,last competed 2022,-,2010,N,,,,,last competed 2022
Panther Robotics,3218,,-,-,-,2,-,1,2010,Y,,,,,
"TREAD (Trojan Robotics, Engineering, And Design)",3219,,-,-,-,3,-,3,2010,Y,,,,,
Robotics of Central Kitsap (ROCK 3223),3223,,-,-,-,last competed 2021,7,7,2010,N,,,,,last competed 2021
Event Horizon,3237,,-,-,-,-,-,-,2010,N,,,,,
Cyborg Ferrets,3238,,-,-,-,-,-,-,2010,N,,,,,
Valhallabots,3268,,-,-,-,5,4,4,2010,Y,,,,,
Horns of Havoc,3393,,-,-,-,4,-,-,2010,Y,,,,,
HIGH TEKERZ,3574,,-,-,-,-,-,-,2011,Y,,,,,
the Talon,3588,,-,-,-,3,-,-,2011,Y,,,,,
Generals,3636,,-,-,-,-,-,-,2011,N,,,,,
CPR - Cedar Park Robotics,3663,,-,-,-,1,-,-,2011,Y,,,,,
C.Y.B.O.R.G. Seagulls,3673,,-,-,-,-,-,-,2011,N,,,,,
CloverBots,3674,,-,-,-,-,-,-,2011,N,,,,,
Robo-Raiders,3681,,-,-,-,4,3,4,2011,Y,,,,,
GearHead Pirates,3693,,-,-,-,-,-,-,2011,N,,,,,
Iron Mustang,3711,,-,-,-,-,-,-,2011,N,,,,,
RoboCats,3712,,-,-,-,-,-,-,2011,N,,,,,
Chargers,3786,,-,-,-,-,-,4,2011,Y,,,,,
Bits & Bots,3812,,-,-,-,-,-,-,2011,N,,,,,
"Sequim Robotics Federation ""SRF""",3826,,2,2,2,3,3,3,2011,Y,,,,,Verify pre covids
Mabton LugNutz,3876,,-,-,-,-,3,4,2011,Y,,,,,
NerdHerd,4043,,-,-,-,-,-,-,2012,N,,,,,
Klamath Basin Robotics - STEAMPUNK,4057,,-,-,-,-,last competed 2022,7,2012,N,,,,,
Bearcat Robotics,4060,,-,-,-,3,-,-,2012,Y,,,,,
SciBorgs,4061,,-,-,-,-,-,-,2012,N,,,,,
